Date,Open,High,Low,Close,Adj Close,Volume
4/7/17,24.48,25.26,24.459999,25.08,25.08,10700
4/10/17,24.17,24.684999,24.17,24.43,24.43,17400
4/11/17,24.66,25.57,24.440001,24.882,24.882,29500
4/12/17,24.860001,25.83,23.969999,25.610001,25.610001,14800
4/13/17,25.41,27.41,25.41,27.27,27.27,21700
4/17/17,27.120001,27.75,26.889999,26.93,26.93,11100
4/18/17,27.02,28.129999,26.83,27.75,27.75,11300
4/19/17,27.66,29.4,27.219999,29.4,29.4,26900
4/20/17,29.059999,29.146999,27.860001,28.879999,28.879999,24000
4/21/17,29.25,29.75,28.65,28.870001,28.870001,28600
4/24/17,27.969999,29.120001,27.870001,28.709999,28.709999,23200
4/25/17,29,29,27.16,27.17,27.17,13900
4/26/17,27.4,27.59,26.17,27.559999,27.559999,11400
4/27/17,28.6,30.5,28.6,29.48,29.48,19100
4/28/17,29.280001,30.24,28.540001,30.23,30.23,8200
5/1/17,30.52,30.52,29.84,30.09,30.09,4500
5/2/17,29.65,30.959999,28.809999,30.67,30.67,14000
5/3/17,31.370001,32.259998,30.790001,31.219999,31.219999,15400
5/4/17,32.25,35.27,32.240002,34.040001,34.040001,26700
5/5/17,34.66,34.66,30.4,30.549999,30.549999,11800
5/8/17,30.52,31.33,30.190001,30.209999,30.209999,5400
5/9/17,30.129999,31.261999,30.129999,31.17,31.17,3000
5/10/17,30.35,30.35,28.5,29.09,29.09,22100
5/11/17,29,29.653,28.802,29.58,29.58,13100
5/12/17,29.85,29.85,29.02,29.57,29.57,16100
5/15/17,27.65,29.33,27.6,29.33,29.33,4900
5/16/17,29.549999,30.549999,29.25,30.219999,30.219999,9600
5/17/17,31.040001,31.43,30.158001,31.41,31.41,18600
5/18/17,31.73,32.369999,31.5,31.940001,31.940001,6300
5/19/17,31.9,31.9,29.32,29.41,29.41,27500
5/22/17,28.91,30.309,28.799999,30.07,30.07,10700
5/23/17,29.690001,30.358999,29.690001,30,30,4500
5/24/17,30.299999,31.85,29.959999,31.33,31.33,10000
5/25/17,31.25,34.09,30.205,33.5,33.5,68500
5/26/17,33.728001,33.869999,33.040001,33.040001,33.040001,2900
5/30/17,33.91,35.84,33.91,35.82,35.82,10000
5/31/17,36.889999,38.02,36.75,37.080002,37.080002,11800
6/1/17,36,37.099998,35.555,36.57,36.57,5100
6/2/17,36.360001,39.513,36.360001,39.103001,39.103001,4800
6/5/17,39.799999,40.279999,38.779999,39.650002,39.650002,13000
6/6/17,39.700001,40.299999,37.259998,37.41,37.41,9600
6/7/17,37.75,41.794998,37.604,41.470001,41.470001,10800
6/8/17,42.240002,42.439999,40.955002,42.380001,42.380001,4900
6/9/17,42.220001,42.220001,37.862999,38.318001,38.318001,22900
6/12/17,37.869999,37.869999,36.310001,37.639999,37.639999,17000
6/13/17,37.380001,37.560001,35.070999,35.09,35.09,7100
6/14/17,35.599998,38.990002,35.599998,38.700001,38.700001,7700
6/15/17,38.77,41.16,38.603001,41.16,41.16,8200
6/16/17,39.880001,40.869999,39.880001,40.130001,40.130001,5700
6/19/17,39.880001,41.165001,39.401001,41.089001,41.089001,11600
6/20/17,42.57,45.363998,42.57,44.18,44.18,9400
6/21/17,44.18,46.549999,42.59,46.32,46.32,17000
6/22/17,46.189999,46.848999,44.779999,46.220001,46.220001,9800
6/23/17,44.987999,44.987999,42.110001,42.220001,42.220001,6100
6/26/17,41.389999,42.182999,39.900002,40.972,40.972,7200
6/27/17,40.060001,41.5,39.790001,41.41,41.41,7900
6/28/17,41.41,41.41,39.02,39.02,39.02,3300
6/29/17,39.242001,39.242001,36.779999,38.049999,38.049999,19000
